epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.2075,1.74326,2.95936,1.92511,0.52356,0.50782,0.49889,0.25259,1.67808,1.77092,1.56497,0.00328704,0.00328704,0.00328704
2,148.981,1.49291,1.671,1.65569,0.67894,0.49594,0.56607,0.3004,1.64936,1.48428,1.59364,0.00660726,0.00660726,0.00660726
3,208.841,1.53819,1.70414,1.69125,0.44221,0.34803,0.34279,0.14342,2.02295,3.64132,2.19555,0.00991429,0.00991429,0.00991429
4,268.227,1.60742,1.78662,1.74396,0.38959,0.35895,0.30669,0.12814,1.9414,2.38901,2.16399,0.0099406,0.0099406,0.0099406
5,329.066,1.56793,1.74125,1.73059,0.41215,0.41031,0.33654,0.17314,1.85164,2.50904,1.92539,0.0099208,0.0099208,0.0099208
6,386.206,1.53114,1.66095,1.69577,0.56924,0.47777,0.48144,0.24152,1.7955,1.73073,1.85197,0.009901,0.009901,0.009901
7,441.511,1.51133,1.58492,1.67477,0.59261,0.47947,0.52312,0.25367,1.80846,2.37218,1.78104,0.0098812,0.0098812,0.0098812
8,498.358,1.48772,1.57325,1.66515,0.7189,0.51611,0.58651,0.29532,1.72402,1.4263,1.67886,0.0098614,0.0098614,0.0098614
9,556.345,1.46204,1.51531,1.63862,0.67247,0.57869,0.60734,0.32224,1.64676,1.81043,1.60439,0.0098416,0.0098416,0.0098416
10,615.902,1.44559,1.48004,1.62788,0.65226,0.48388,0.52642,0.27442,1.75922,1.55381,1.75645,0.0098218,0.0098218,0.0098218
11,676.339,1.42119,1.45185,1.60906,0.72068,0.59332,0.66658,0.36913,1.5636,1.1898,1.55741,0.009802,0.009802,0.009802
12,734.509,1.4127,1.42419,1.59535,0.72905,0.61973,0.68165,0.39615,1.53124,1.18732,1.51292,0.0097822,0.0097822,0.0097822
13,793.278,1.41189,1.39103,1.5943,0.72728,0.62859,0.67613,0.37343,1.55292,1.21363,1.50366,0.0097624,0.0097624,0.0097624
14,852.272,1.39122,1.37022,1.57495,0.72537,0.64486,0.69773,0.40027,1.46096,1.10776,1.48621,0.0097426,0.0097426,0.0097426
15,910.136,1.37575,1.34724,1.56714,0.76511,0.59255,0.67807,0.37644,1.60408,1.14486,1.54879,0.0097228,0.0097228,0.0097228
16,968.578,1.36054,1.31789,1.55842,0.7747,0.6668,0.72517,0.41293,1.48885,1.08797,1.47229,0.009703,0.009703,0.009703
17,1026.02,1.36143,1.3033,1.55574,0.71348,0.66656,0.71474,0.41489,1.48357,1.12881,1.46889,0.0096832,0.0096832,0.0096832
